batch_id,time_of_batch,post_id,sr,comment_id,comment_text,comment_upvotes,comment_created_at,comment_author_karma,hours_since_created
260,2022-03-01 14:37:31,9388,4,42804,"RSX, ERUS, and RUSL are ETFs. The ETFs would not be delisted. 

The way that ETFs work is that there is a share creation/redemption process. Because Russia has halted their stock market, the value of the underlying holdings that make up the ETFs are being ",7,2022-03-01 04:03:38,11055,15
260,2022-03-01 14:37:31,9388,4,39683,Can you clarify - is the ETF RSX being delisted on exchanges? Or is this just a hypothetical?,2,2022-03-01 01:56:54,40187,15
260,2022-03-01 14:37:31,9388,4,41593,"The underlyings would get liquidated by the issuer, the money would then return to the shareholders, and the ETF would simply cease existing if there are not enough participants, or if it becomes non-compliant.",2,2022-03-01 03:22:56,5293,15
260,2022-03-01 14:37:31,9388,4,36296,"To piggy back off this question, what would happen to put options if the stock is delisted?",3,2022-02-28 23:23:48,414,15
260,2022-03-01 14:37:31,9388,4,36297,I know that TDA has disallowed margin for RSX.,1,2022-02-28 23:24:22,13406,15
260,2022-03-01 14:37:31,14554,4,57593,"Savings account is the worst option.

You could get a CD if you want to be super conservative. Or just put it in SPY.",2,2022-03-01 14:28:59,13406,0
260,2022-03-01 14:37:31,14554,4,57594,"Canada has RESP accounts that are really good, If your somewhere else a long term GIC would be better than a savings account, or set him up with a self directed account and let him pick a Roblox stock or something like that.",1,2022-03-01 14:25:37,14652,0
260,2022-03-01 14:37:31,14554,4,57595,"This topic has been removed because it is a beginner topic or asking for advice (rule 2). We get too many of these topics every day and the community has asked us to prevent them from swamping the front page, so we are removing main threads of this kind.  ",1,2022-03-01 14:28:57,40187,0
260,2022-03-01 14:37:31,14554,4,57596,"The r/personalfinance wiki for teens has good suggestions.

As a parent, I believe that at that age, a bank account should be the first account that a child has access to and be able to monitor.  

You can open a custodial brokerage account such as UTMA/UM",1,2022-03-01 14:29:01,11055,0
260,2022-03-01 14:37:31,14554,4,57795,Simple bank account is the simplest option. You could open a full fledged UTMA/UGMA brokerage account to access public market investments in your child's name. Do some research into tax and college financial aid impact of having a UTMA/UGMA account before ,1,2022-03-01 14:39:17,39318,0
